iter	Passed	Remaining
0	1	105
1	2	104
2	3	102
3	3	94
4	4	93
5	5	92
6	6	90
7	7	89
8	8	87
9	9	87
10	10	87
11	11	87
12	13	87
13	14	88
14	15	88
15	16	87
16	17	85
17	18	84
18	19	83
19	20	82
20	22	82
21	23	81
22	23	80
23	24	79
24	26	79
25	27	78
26	28	78
27	29	77
28	31	76
29	32	75
30	33	73
31	34	73
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	72	37
66	73	36
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	23
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	108	2
98	109	1
99	110	0
