iter	Passed	Remaining
0	142	142658
1	143	71854
2	145	48322
3	146	36471
4	147	29277
5	148	24582
6	149	21155
7	149	18589
8	151	16699
9	152	15077
10	152	13746
11	153	12676
12	154	11763
13	155	10951
14	156	10282
15	157	9695
16	159	9215
17	160	8751
18	161	8328
19	162	7953
20	164	7667
21	165	7350
22	166	7055
23	166	6788
24	167	6541
25	168	6318
26	169	6102
27	170	5907
28	171	5729
29	171	5558
30	172	5400
31	173	5249
32	174	5113
33	175	4983
34	176	4853
35	176	4736
36	177	4622
37	178	4515
38	179	4412
39	179	4314
40	180	4220
41	181	4129
42	181	4042
43	182	3959
44	182	3879
45	183	3802
46	183	3729
47	184	3658
48	185	3591
49	185	3525
50	186	3462
51	186	3404
52	187	3346
53	187	3289
54	188	3235
55	188	3183
56	189	3133
57	189	3084
58	190	3037
59	191	2993
60	191	2950
61	192	2907
62	192	2866
63	193	2826
64	193	2786
65	194	2748
66	194	2711
67	195	2674
68	195	2639
69	196	2606
70	196	2572
71	197	2540
72	197	2509
73	198	2479
74	198	2449
75	199	2421
76	199	2393
77	200	2365
78	200	2340
79	201	2315
80	201	2290
81	202	2266
82	202	2240
83	203	2216
84	203	2195
85	204	2173
86	205	2151
87	205	2130
88	206	2109
89	206	2089
90	207	2069
91	207	2049
92	208	2030
93	208	2011
94	209	1993
95	209	1974
96	210	1957
97	210	1939
98	211	1922
99	211	1905
100	212	1889
101	212	1873
102	213	1857
103	213	1842
104	214	1826
105	214	1811
106	215	1797
107	216	1784
108	216	1770
109	217	1756
110	217	1743
111	218	1730
112	218	1717
113	219	1705
114	219	1692
115	220	1679
116	220	1666
117	221	1653
118	221	1641
119	222	1629
120	222	1618
121	223	1605
122	223	1594
123	224	1583
124	224	1572
125	225	1561
126	225	1550
127	226	1539
128	226	1529
129	227	1519
130	227	1509
131	228	1499
132	228	1489
133	229	1480
134	229	1471
135	230	1461
136	230	1453
137	231	1444
138	231	1436
139	232	1428
140	233	1419
141	233	1410
142	233	1401
143	234	1393
144	234	1385
145	235	1376
146	235	1368
147	236	1361
148	236	1353
149	237	1345
150	237	1337
151	238	1329
152	238	1322
153	239	1315
154	239	1307
155	240	1300
156	240	1293
157	241	1286
158	241	1279
159	242	1273
160	242	1265
161	243	1258
162	243	1251
163	244	1245
164	244	1238
165	245	1232
166	245	1227
167	246	1221
168	247	1216
169	247	1210
170	248	1204
171	248	1198
172	249	1192
173	249	1186
174	250	1180
175	250	1174
176	251	1168
177	251	1163
178	252	1157
179	252	1151
180	253	1146
181	253	1140
182	254	1135
183	254	1129
184	255	1124
185	255	1119
186	256	1114
187	256	1108
188	257	1103
189	257	1098
190	258	1093
191	258	1088
192	259	1084
193	259	1079
194	260	1075
195	261	1072
196	262	1068
197	262	1063
198	263	1059
199	263	1055
200	264	1051
201	264	1046
202	265	1042
203	265	1037
204	266	1033
205	267	1029
206	267	1024
207	268	1020
208	268	1016
209	269	1012
210	269	1008
211	270	1004
212	270	1000
213	271	995
214	271	992
215	272	988
216	272	984
217	273	980
218	273	976
219	274	973
220	275	970
221	275	966
222	276	963
223	277	959
224	277	955
225	278	952
226	278	948
227	279	945
228	279	941
229	280	937
230	280	934
231	281	931
232	281	927
233	282	924
234	282	920
235	283	917
236	283	914
237	284	910
238	284	907
239	285	904
240	286	901
241	286	898
242	287	895
243	287	892
244	288	889
245	289	885
246	289	882
247	290	880
248	290	877
249	291	874
250	292	871
251	292	868
252	293	865
253	293	862
254	294	859
255	294	856
256	295	853
257	295	851
258	296	848
259	297	845
260	297	842
261	298	839
262	298	837
263	299	834
264	299	831
265	300	828
266	301	826
267	301	824
268	302	821
269	302	818
270	303	816
271	303	813
272	304	811
273	305	808
274	305	806
275	306	804
276	307	802
277	307	799
278	308	797
279	309	795
280	309	792
281	310	790
282	310	787
283	311	785
284	312	782
285	312	780
286	313	777
287	313	775
288	314	773
289	314	770
290	315	768
291	315	766
292	316	763
293	317	761
294	317	759
295	318	756
296	318	754
297	319	752
298	320	750
299	320	748
300	321	746
301	322	744
302	322	742
303	323	740
304	323	737
305	324	735
306	324	733
307	325	731
308	325	728
309	326	726
310	327	724
311	327	722
312	328	720
313	329	719
314	330	718
315	331	716
316	331	715
317	332	713
318	333	711
319	333	709
320	334	707
321	335	705
322	335	703
323	336	701
324	336	699
325	337	697
326	338	695
327	338	693
328	339	691
329	339	689
330	340	687
331	340	685
332	341	683
333	341	681
334	342	680
335	343	678
336	344	677
337	345	675
338	345	673
339	346	672
340	347	670
341	347	669
342	348	667
343	349	666
344	350	664
345	350	663
346	351	661
347	352	659
348	352	658
349	353	656
350	354	654
351	354	652
352	355	651
353	355	649
354	356	647
355	357	645
356	357	644
357	358	642
358	359	641
359	359	639
360	360	638
361	361	636
362	361	634
363	362	633
364	362	631
365	363	630
366	364	628
367	365	626
368	365	625
369	366	624
370	367	622
371	368	621
372	369	620
373	369	619
374	370	617
375	371	616
376	372	615
377	373	614
378	374	613
379	375	611
380	375	610
381	376	609
382	377	608
383	378	606
384	378	605
385	379	603
386	380	602
387	380	600
388	381	599
389	382	597
390	382	596
391	383	595
392	384	594
393	385	592
394	385	591
395	386	589
396	387	588
397	387	586
398	388	584
399	388	583
400	389	581
401	390	580
402	390	579
403	391	577
404	392	576
405	393	575
406	393	573
407	394	572
408	395	570
409	395	569
410	396	568
411	397	567
412	398	566
413	399	565
414	399	563
415	400	562
416	400	560
417	401	559
418	402	557
419	402	556
420	403	555
421	404	553
422	404	552
423	405	550
